chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
optimism,polygon,0xf39349b6d8ab08de37b4a0c8c9b114a392e61523d036f6bb81a6dac325d0fea0,0x272dc011d0c35079af1658a5a402546677c2cfcaf1d2c1eedd09899d547507be,2023-09-01 21:29:57.000 UTC,2023-09-01 22:16:40.000 UTC,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,EURA,EURA,USDC,USDC_EURA,1.07914,1,1,1.079333,0,2803
optimism,arbitrum,0xb2bd24f3b93d6059c59ff7c08a1e149eb8d91f1f23fa1a024f20070e4a6f4f70,0xa5f1acb11a190d3e0c35ed07d060fe31cca3caaf097b03b24c6f16467702aab6,2023-09-01 20:09:37.000 UTC,2023-09-01 20:16:17.000 UTC,0x46b63a1de16357170d5c849623cbf6964acd8646,0x1111111254eeb25477b68fb85ed929f73a960582,0x46b63a1de16357170d5c849623cbf6964acd8646,0x1111111254eeb25477b68fb85ed929f73a960582,USDC,agEUR,agEUR,USDC,USDC_agEUR,6,5.570872750240827,5.570872750240827,6.011791,0,400
zksync,arbitrum,0xe92dd591d1a40917475ef5232b5688a6ccc7962a80ae426712bd5deaa70f87ac,0xc2fe047a2486071c3d64a439c432cf3c113ec292151872c206fbb645c753bb0c,2023-09-01 13:45:41.000 UTC,2023-09-01 13:45:47.000 UTC,0xc6d973b31bb135caba83cf0574c0347bd763ecc5,0x943ac2310d9bc703d6ab5e5e76876e212100f894,0xc6d973b31bb135caba83cf0574c0347bd763ecc5,0xe592427a0aece92de3edee1f18e0157c05861564,WETH,USDC.e,USDC,WETH,WETH_USDC,6.9999999999999885,11478.001053,11477.017186,7,0.00008571762587037531,6
bnb,polygon,0x22f78b734fda53c9a349c0535365a4d885d25c9fa9e0b6eff272eb8cfa7c4345,0x1bdd9f585228d383ece0cfa78e3cb671e76296bffb80e15a75123b9f014f47fb,2023-09-01 13:06:24.000 UTC,2023-09-01 13:09:10.000 UTC,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0x1111111254eeb25477b68fb85ed929f73a960582,BUSD,AI,AI,USDC,USDC_AI,120,11584.561016133048,11440.375210562588,124.380599,0.012446376290794422,166
ethereum,arbitrum,0x690344567b90bae458cb6f96afbe06dec900549b547279731bdb13b59267885a,0xbddd37af82d6654af06fadeef027a4eb7cb6c07c1afc509a40ba6e4bba569c3a,2023-09-01 14:33:11.000 UTC,2023-09-01 14:38:30.000 UTC,0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,0x3fa6fff7212d3fa4317cf1955fa690993d8ced70,0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,0x13bdb8b9df42b05de58e27a75dd019866cd43bf7,WETH,Silo,Silo,WETH,WETH_Silo,2.7508827710603954,131795.81464061438,131782.6350591503,2.938866089197877,0.00010000000000002355,319
ethereum,arbitrum,0x690344567b90bae458cb6f96afbe06dec900549b547279731bdb13b59267885a,0x0c127d65759afeab9511490bc0c75011aab4b98f19013fdc93af56619e7d9284,2023-09-01 14:33:11.000 UTC,2023-09-01 14:45:01.000 UTC,0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,0x3fa6fff7212d3fa4317cf1955fa690993d8ced70,0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,0x13bdb8b9df42b05de58e27a75dd019866cd43bf7,WETH,Silo,Silo,WETH,WETH_Silo,2.7508827710603954,131795.81464061438,134178.83457411604,2.785216568726059,0.018081150300559783,710
optimism,base,0xdf7c1f2db2e08de7fde90ffd9493bc195ea4df66f7384dfed2cdb7fe335429be,0x8efdf43920523a80876513fe039e17a65aae4413d42b74d60e12e4fa8f6c7b4a,2023-09-01 00:13:39.000 UTC,2023-09-01 00:15:45.000 UTC,0x72c5cd18a51d53db34072546a7a38a4f73600d92,0xa062ae8a9c5e11aaa026fc2670b0d65ccc8b2858,0x72c5cd18a51d53db34072546a7a38a4f73600d92,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,USDC,EXTRA,EXTRA,USDbC,USDC_EXTRA,1009.442948,39637.489896097315,39637.48989609732,1015.609313,1.8356252207836734e-16,126
bnb,base,0x59945234ec7db6fac142a54781a4c2e078a9fca0ba409de9515a6016d1bf06a6,0xfd4fd800bd1d1b429101c2218f910267fce2aa35cde4eddff39046fd598f2874,2023-09-01 16:10:23.000 UTC,2023-09-01 16:14:33.000 UTC,0x368cb4212abd097f35efcd34e291b6ee1d60e622,0x1111111254fb6c44bac0bed2854e76f90643097d,0x368cb4212abd097f35efcd34e291b6ee1d60e622,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,USDT,ERN,ERN,USDbC,USDC_ERN,1161.7161589999998,1117.0972926807538,1115.5972926807538,1180.570459,0.001342765764296479,250
bnb,arbitrum,0x9a51b99e33d84cbe2268fa564aba36b21d0746d68451a1900ce78593f16de6e4,0xafd274749be26c69f32dbb461b4c185184df3e6698fb9f658cf007ca37bfe153,2023-09-01 00:11:10.000 UTC,2023-09-01 00:12:08.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ETH,JOE,JOE,WETH,WETH_JOE,1,5140.534167113101,5165.154748984626,1.0064962433098217,0.004789498731286917,58
bnb,avalanche_c,0x9a51b99e33d84cbe2268fa564aba36b21d0746d68451a1900ce78593f16de6e4,0x1bf75ba2574dc23fb993aa12c7c4703654ba1287e6bb754a5b0b907513030151,2023-09-01 00:11:10.000 UTC,2023-09-01 00:12:23.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,ETH,JOE,JOE,WETH.e,WETH_JOE,1,5140.534167113101,5140.53416711,1.004520249107403,6.031411012068265e-13,73
