chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
bnb,base,0x4ddad4902a414e169aecc45565150ed8779315e7668e05a19927ab27472f9d59,0x34d16a0be0038cf7c2a16bf67227f162a8e26675b8d0008bd9ad220449a8dde7,2024-05-15 12:24:12.000 UTC,2024-05-15 12:24:33.000 UTC,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0xc4c9f3444452290d8bd09512fc3ebf3be745ccc9,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0x0996433255771adcc08516b6a5a464078852c093,ETH,BYTE,BYTE,WETH,WETH_BYTE,0.2,45331469.759146065,45331469.759146065,0.20666637029713913,0,21
base,ethereum,0x8558048c5a59722494c796ca31359a24945a4fd907bb1fca58639acd913fe58e,0x293e2dd614e66ab3d20fca17a957ce9440bee078f7c5bc09ee982e920a5bc136,2024-05-15 13:13:31.000 UTC,2024-05-15 13:15:23.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,ETH,PRIME,PRIME,WETH,WETH_PRIME,4,796.9964763184454,796.9964763184454,4.042683416016658,0,112
base,ethereum,0x8558048c5a59722494c796ca31359a24945a4fd907bb1fca58639acd913fe58e,0x3441f21a0ee4b87d7304eacd56aeeab12c0262ba092369a2deb4fcc41b6e2a24,2024-05-15 13:13:31.000 UTC,2024-05-15 13:38:11.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,ETH,PRIME,PRIME,WETH,WETH_PRIME,4,796.9964763184454,766.9840480267687,4.036895133257596,0.037656914658283865,1480
base,ethereum,0x8558048c5a59722494c796ca31359a24945a4fd907bb1fca58639acd913fe58e,0x00573e115cdcd9e819f1127b5d8f4ed0fba725a292fcc4e10dd4d61c81dadc10,2024-05-15 13:13:31.000 UTC,2024-05-15 13:55:23.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,ETH,PRIME,PRIME,WETH,WETH_PRIME,4,796.9964763184454,738.3541582350891,4.01913261812656,0.07357914347908022,2512
base,arbitrum,0x11ff09fe34bc49b74ff49317be2540d91a2fd2728b6ebf9e6ed515397601fa3e,0x95f672e9521b493929f4cf75b5b9072bf0276822b17f0319fa04690672edaa84,2024-05-15 15:23:23.000 UTC,2024-05-15 15:25:23.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x6bded42c6da8fbf0d2ba55b2fa120c5e0c8d7891,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,OMNI,WETH,WETH,OMNI,OMNI_WETH,1829848.7997444584,0.21476219371923475,0.225,1925402.6747968243,0.047670430737681235,120
base,polygon,0x11ff09fe34bc49b74ff49317be2540d91a2fd2728b6ebf9e6ed515397601fa3e,0xcc1c9b626df21bfcd50a4c541a6c789efe7143d6ad5fd4db498aee66a62b4d03,2024-05-15 15:23:23.000 UTC,2024-05-15 15:47:08.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x6bded42c6da8fbf0d2ba55b2fa120c5e0c8d7891,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,OMNI,WETH,WETH,OMNI,OMNI_WETH,1829848.7997444584,0.21476219371923475,0.225,1933220.2095794375,0.047670430737681235,1425
bnb,avalanche_c,0xd186ee1a6e13e8cbd2daedf8cb8689e1667afad0bcd90483d113372f7e263412,0x371f935fc7f39e47c958dae7c22815a582779131c7da1c19b1d65335d5eb31a7,2024-05-15 17:40:20.000 UTC,2024-05-15 17:40:20.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x60ae616a2155ee3d9a68541ba4544862310933d4,AI,USDC,USDC.e,AI,AI_USDC,5311042.53159724,122.062704443251,120,5311042.531597241,0.016898728015730467,0
base,optimism,0xd5fc072b27ce27e0ff21af351a6c64576c0fa2afb234416eac60255fe430e210,0xfe377c293ded23c83876ec4d98730d63f740ed6a80f7129187808c6fff441043,2024-05-15 16:29:29.000 UTC,2024-05-15 16:32:07.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,ETH,KWENTA,KWENTA,ETH,WETH_KWENTA,0.3,11.717325014006615,11.681899112772602,0.301200738658465,0.0030233778777721356,158
ethereum,bnb,0xb8afa760c5650bc186e4058b8791594bced46d58ea4fe0466b5172e83f2559a6,0xf1b18e41315f1f882ff249af476d117e0f5de3594c16ab03ee939d745800cc10,2024-05-15 17:06:11.000 UTC,2024-05-15 17:06:17.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0xdef1c0ded9bec7f1a1670819833240f027b25eff,USDT,DCK,DCK,USDT,USDC_DCK,1250,24668.636041223614,24594.63013309994,1266.8558832067529,0.0030000000000000577,6
ethereum,bnb,0xb8afa760c5650bc186e4058b8791594bced46d58ea4fe0466b5172e83f2559a6,0x169481f9bfb300524ed11c1d1dc8e888596752335f32b3b5540caf4964da9bc5,2024-05-15 17:06:11.000 UTC,2024-05-15 18:04:50.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0xdef1c0ded9bec7f1a1670819833240f027b25eff,USDT,DCK,DCK,USDT,USDC_DCK,1250,24668.636041223614,24158.971530219744,1261.3642734420753,0.020660425252217937,3519
ethereum,polygon,0xd4be0fa857336107d287276f8caa0026ae6195cb6dae1da9ea68f7fea54414ed,0x8a8b1b32db810279877f3f6e3e2c5738ff5b0dc687e1f7e0b724994dd9bfb4aa,2024-05-15 18:52:47.000 UTC,2024-05-15 18:52:49.000 UTC,0x288a13fddcfcaa596c07c74903b6f8d85545a48e,0x000000fb04cfc92ce3d49d21c99b6d12309e025d,0x288a13fddcfcaa596c07c74903b6f8d85545a48e,0x000000fb04cfc92ce3d49d21c99b6d12309e025d,TEL,WETH,WETH,TEL,TEL_WETH,529954.18,0.70763057308982,0.7,529981.4099999999,0.010783272204452245,2
arbitrum,base,0xd647b72170514e346e14ebf9cf8ff064fdc7c78074f9ba0a8f5f9d95e8e52de6,0x798574d291ec34ff3879b7ceda2b10f427495283a45ecb5e3b4606fc77e2eb7d,2024-05-15 14:38:05.000 UTC,2024-05-15 14:38:33.000 UTC,0xf1ed8cca865c5b9511beaefe0e1f2c22c43a422b,0x5e325eda8064b456f4781070c0738d849c824258,0xf1ed8cca865c5b9511beaefe0e1f2c22c43a422b,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,DZHV,WETH,WETH,DZHV,DZHV_WETH,49999.99999999999,0.06223125331868391,0.06001295102552632,50125,0.03564611308401184,28
bnb,ethereum,0x6ebb112ccb1660a36204aec0574dcd53bfe204a9637b824bf493e195e578e2ef,0x7795c9f4276cb03c0fe345cc3f673e22b88f9e6ddc2fc08e9333ff027a7f5e34,2024-05-15 13:31:51.000 UTC,2024-05-15 13:42:35.000 UTC,0x05682a10a7ff570e61ffc585042f3730f726c456,0x89b8aa89fdd0507a99d334cbe3c808fafc7d850e,0x05682a10a7ff570e61ffc585042f3730f726c456,0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,USDT,NMT,NMT,USDT,USDC_NMT,3655.834020445806,1728.9012033037266,1699.9,10085.237423,0.016774355439344125,644
ethereum,polygon,0xeabb60535201a2a6815ac2c1724c109da38b2b1799ad0ba9e0076b283f23bdee,0x63889b9eab9b0a0cada8050b7abf6f05cf8c923c12fa073f12795ad39841c8f6,2024-05-15 13:35:23.000 UTC,2024-05-15 13:35:31.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,TEL,WETH,WETH,TEL,TEL_WETH,787878.78,1.0150848588264245,1,787936.18,0.014860687454115567,8
optimism,scroll,0x1273bf862f743483f87a13bfe7c71233e6f57c1639a7cbe1e1ecfe7401b45f18,0x2a0d2c7d3ed14b2e4551cb309da5c8f69ceefa50e9f3bf1434f8a463b26933a9,2024-05-15 12:33:23.000 UTC,2024-05-15 12:33:30.000 UTC,0x95ff5d41302934fad328b2b824cbd4827fa482f5,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x95ff5d41302934fad328b2b824cbd4827fa482f5,0x80e38291e06339d10aab483c65695d004dbd5c69,WETH,USDC,USDC,WETH,WETH_USDC,0.37384324082299614,1102.250807,1102.250807,0.37502508206501883,0,7
arbitrum,bnb,0xb8b8c219083cb8cf2c33b1417e48fd00687594a9c3c065641802ba4f5f30b99e,0x5c51c5c3a9bce61d067bcd6dce83f3269551a6d75713283a8e529937d07fd917,2024-05-15 15:55:09.000 UTC,2024-05-15 15:55:41.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDC,OLE,OLE,USDC,USDC_OLE,500,5847.725802503236,5847.725802503236,504.6456880005447,0,32
polygon,bnb,0x4bc9beae07af3bd63f716cd31142c5c280bbab3f2d81d42b52d18df1bf2af023,0x678dd8239fa4db46dc69a28bcd082c881018c0a96df0f6f5e1a8f134a67e2b46,2024-05-15 18:43:57.000 UTC,2024-05-15 18:48:06.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,SPACE,USDC,USDC,SPACE,SPACE_USDC,10686.472992670635,121.160848,120,10875.839942486906,0.009581048821975902,249
optimism,scroll,0x73effb90765c4a1bf2e0a24ed8ab66e39bcc623333dee6429c1f4134d4b9bb09,0xc6210d519f109e9c06427f1df125df61b6a83bb86bfc2a1d0d6a42944dc9bd21,2024-05-15 13:29:17.000 UTC,2024-05-15 13:29:27.000 UTC,0x95ff5d41302934fad328b2b824cbd4827fa482f5,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x95ff5d41302934fad328b2b824cbd4827fa482f5,0x80e38291e06339d10aab483c65695d004dbd5c69,WETH,USDC,USDC,WETH,WETH_USDC,0.37394345390115485,1106.96713,1106.96713,0.37533965369328026,0,10
optimism,base,0x56ed2ac85575ee40ea6152511cf8ff058ed809ca20f0fa368f0d1978fbc38199,0x03bb636ba07e5c1695a6b068320c3feb76e86b467e88a9b9b89603bcf70e3801,2024-05-15 12:37:35.000 UTC,2024-05-15 12:38:33.000 UTC,0x5c48174bba95a4bc920d71eec167c3a24f9f62de,0xca423977156bb05b13a2ba3b76bc5419e2fe9680,0x5c48174bba95a4bc920d71eec167c3a24f9f62de,0x19ceead7105607cd444f5ad10dd51356436095a1,axlUSDC,EXTRA,EXTRA,axlUSDC,USDC_EXTRA,1000,9157.013812668109,9157.013812668109,1004.869607,0,58
optimism,base,0x56ed2ac85575ee40ea6152511cf8ff058ed809ca20f0fa368f0d1978fbc38199,0xc21b094f3803e40f226eaa46f8de86de4f8f5d365affc4561564c20b8b33efaa,2024-05-15 12:37:35.000 UTC,2024-05-15 13:36:31.000 UTC,0x5c48174bba95a4bc920d71eec167c3a24f9f62de,0xca423977156bb05b13a2ba3b76bc5419e2fe9680,0x5c48174bba95a4bc920d71eec167c3a24f9f62de,0x19ceead7105607cd444f5ad10dd51356436095a1,axlUSDC,EXTRA,EXTRA,axlUSDC,USDC_EXTRA,1000,9157.013812668109,9039.76767842581,1004.515849,0.012803970447232185,3536
ethereum,base,0xd1fc491c49533a12ef6f41f176f5c89d4b7f74d0153804fd1b25aa66c8bd70f6,0x678d849bfda1a2f87a22f31f3c7ef27d336a0837571dfd90da15e84ca4924825,2024-05-15 12:59:47.000 UTC,2024-05-15 13:00:41.000 UTC,0xcb1763818cf458aba5daaaa049261df3d7405e71,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xcb1763818cf458aba5daaaa049261df3d7405e71,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,RSC,WETH,WETH,RSC,RSC_WETH,15000,1.8376381274859896,1.8123897774103688,15037.5,0.013739565857921267,54
avalanche_c,bnb,0x0effa47a3d9622590ba38142b04ee538c1923adc56c8bd234e1a5ebbc58a21c9,0xa1dc803ff38f54efbb0cdc90433c20a0fc0e6d50c32d15a762204e6aaeeb4291,2024-05-15 12:37:49.000 UTC,2024-05-15 12:37:54.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,USDC,DZHV,DZHV,USDC,USDC_DZHV,120,33660.274403393465,33660.274403393465,124.40045692033802,0,5
