chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
polygon,bnb,0xb7595e938cd2ac96eec56fc369f396068a5caeaba2b8438429c89911c7f4faf2,0x2d64e48c75efcfeba00d67310ee80de5ce747147f1eb6da0765de5f2f1532a52,2024-01-15 15:48:32.000 UTC,2024-01-15 16:08:50.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDC,VOLT,VOLT,USDC,USDC_VOLT,120,323791311.43072253,323684818.74471647,122.53967442716426,0.00032889296978203214,1218
polygon,bnb,0xb7595e938cd2ac96eec56fc369f396068a5caeaba2b8438429c89911c7f4faf2,0x846509ec5abbcf77f496d6055fec59c9ccf6f78d4b68d80146761de1eef81359,2024-01-15 15:48:32.000 UTC,2024-01-15 16:09:23.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDC,VOLT,VOLT,USDC,USDC_VOLT,120,323791311.43072253,323272085.37233907,122.44240821965005,0.00160358243119367,1251
polygon,bnb,0xb7595e938cd2ac96eec56fc369f396068a5caeaba2b8438429c89911c7f4faf2,0x3b6839aaca55728606dc0249ba9c3e3cff24d67b86c7208f37384781a2c2f2d4,2024-01-15 15:48:32.000 UTC,2024-01-15 16:26:56.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDC,VOLT,VOLT,USDC,USDC_VOLT,120,323791311.43072253,323167601.06366545,122.42599841328648,0.0019262727103489074,2304
bnb,arbitrum,0x3e612a66f2413d4bcc2463fc6bc8994fbff4a75eaa31d36a56d9d087d4ceb4d9,0xb5df767f8faed3a895b6042f11a138f4946007ae218b6fc960f8698ac3648b92,2024-01-15 11:54:32.000 UTC,2024-01-15 11:56:23.000 UTC,0xc8d5cf84e1aa38ffa9e5e532fc97b2f6e1c4740c,0x1111111254eeb25477b68fb85ed929f73a960582,0xc8d5cf84e1aa38ffa9e5e532fc97b2f6e1c4740c,0x1111111254eeb25477b68fb85ed929f73a960582,USDT,MGP,MGP,USDT,USDC_MGP,2500,36404.221300108584,36404.2213,2511.350408,2.9827967075276944e-12,111
bnb,optimism,0xda37f79c50ccd83276acf43350b17c163564d3653426fd3a6c112274be78ea62,0x93f380186278c67b963c0be5c1726e3ccde36edb9256658dfbaa3dd2e46fd2d2,2024-01-15 19:18:42.000 UTC,2024-01-15 19:19:49.000 UTC,0xc2d0d7b1d50b07a14a4b0edcb39af283cd9e9781,0x1111111254eeb25477b68fb85ed929f73a960582,0xc2d0d7b1d50b07a14a4b0edcb39af283cd9e9781,0xca423977156bb05b13a2ba3b76bc5419e2fe9680,BUSD,ELK,ELK,USDC,USDC_ELK,200,1579.1589935025077,1579.16,203.068977,6.37362986607091e-7,67
arbitrum,bnb,0x19149e576adbeec0b086144d4621265a52c98909ff3070916bd2571dd30f88ae,0xd3fd90f48e69184826bec794ebc63ce2be7310321c3e326fd93f7e05e2ae098c,2024-01-15 13:09:55.000 UTC,2024-01-15 13:10:05.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x0d21639a4a86c5516c17d7454cc2d67c97afffb7,WETH,LVL,LVL,ETH,WETH_LVL,0.4,1926.7090777237436,1926.7050572335188,0.40046879505085753,0.0000020867136981183616,10
arbitrum,bnb,0x3ca4550d466aebfd75eb242d3d36db5b645e48ec54b0835e5b4f629024cddb87,0x91f44a7d2af4e947008e9cf5716cae80c1cc92d85cde79d145ab5f9ff712f3d6,2024-01-15 01:33:19.000 UTC,2024-01-15 01:34:13.000 UTC,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0xf5d9bcf3fb5bb21fca6ae215c98321d40f3ac1d0,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0xc4c9f3444452290d8bd09512fc3ebf3be745ccc9,USDC,LVL,LVL,USDT,USDC_LVL,1000,1942.7595721262626,1942.7595721262626,1004.5084459472289,0,54
arbitrum,bnb,0x3ca4550d466aebfd75eb242d3d36db5b645e48ec54b0835e5b4f629024cddb87,0x5fb7818cb04da072a56d3a9ff480047ded7a76febb9758dc88d0593a997e82e0,2024-01-15 01:33:19.000 UTC,2024-01-15 01:35:10.000 UTC,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0xf5d9bcf3fb5bb21fca6ae215c98321d40f3ac1d0,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0xc4c9f3444452290d8bd09512fc3ebf3be745ccc9,USDC,LVL,LVL,USDT,USDC_LVL,1000,1942.7595721262626,2123.750666041497,1104.4676067178448,0.09316185930158502,111
bnb,ethereum,0x4b45aa1ca5c13e2c0712ad72ac7597bedb011b543167a22e3b48d8be4698334a,0xb0bc41d13c55c2aeccc8fd0f47dabfce85b552c5c45ebaabdbbea24bcb8b3b27,2024-01-15 01:24:22.000 UTC,2024-01-15 01:24:23.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x0d21639a4a86c5516c17d7454cc2d67c97afffb7,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,ETH,PAID,PAID,WETH,WETH_PAID,1,7763.944127939821,7763.944127939821,1.0113795393308123,0,1
bnb,ethereum,0x4b45aa1ca5c13e2c0712ad72ac7597bedb011b543167a22e3b48d8be4698334a,0xe0df66ffb27263c55f2a5d95593982a5b04f6f00026d94d6aa6679f5c7686e89,2024-01-15 01:24:22.000 UTC,2024-01-15 01:33:59.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x0d21639a4a86c5516c17d7454cc2d67c97afffb7,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,ETH,PAID,PAID,WETH,WETH_PAID,1,7763.944127939821,7783.468637702787,1.0091935703799388,0.002514766907286805,577
